config,base_k,boosted_k,scale,provisional_fights,model,fold,n,log_loss,brier_score,accuracy,roc_auc
scale_200,32.0,64.0,200.0,3,elo,2011-01-01→2014-01-01,1004,0.6875827649239602,0.24704395916751967,0.5756972111553785,0.5523448101286834
scale_200,32.0,64.0,200.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
scale_200,32.0,64.0,200.0,3,elo,2014-01-01→2017-01-01,1441,0.6794343214813986,0.24322237239752334,0.5836224843858432,0.5663213141571808
scale_200,32.0,64.0,200.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
scale_200,32.0,64.0,200.0,3,elo,2017-01-01→2020-01-01,1421,0.6942396764644386,0.2501074919179192,0.5397607318789585,0.5492545100636125
scale_200,32.0,64.0,200.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
scale_200,32.0,64.0,200.0,3,elo,2020-01-01→2023-01-01,1447,0.6799368399151671,0.24318325673994715,0.5742916378714582,0.5736032276565868
scale_200,32.0,64.0,200.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
scale_200,32.0,64.0,200.0,3,elo,2023-01-01→2026-01-01,1532,0.6783397687788693,0.24297893109396182,0.5554830287206266,0.5799016552512402
scale_200,32.0,64.0,200.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
scale_200,32.0,64.0,200.0,3,elo,2026-01-01→2029-01-01,387,0.6903429742525813,0.2475862538979071,0.5684754521963824,0.5679055696612825
scale_200,32.0,64.0,200.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
scale_200,32.0,64.0,200.0,3,elo,pooled test,7232,0.6839270461361369,0.24527988037078638,0.5652654867256637,0.56483612570721
scale_600,32.0,64.0,600.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
scale_600,32.0,64.0,600.0,3,elo,test (simple split),3872,0.6840750218016738,0.24550998175121924,0.5503615702479339,0.552492709118974
scale_600,32.0,64.0,600.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
scale_600,32.0,64.0,600.0,3,elo,2011-01-01→2014-01-01,1004,0.6852075436757602,0.24607060193825137,0.5667330677290837,0.5442362197535885
scale_600,32.0,64.0,600.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
scale_600,32.0,64.0,600.0,3,elo,2014-01-01→2017-01-01,1441,0.6817658022607407,0.2443681449558334,0.57529493407356,0.562428079404347
scale_600,32.0,64.0,600.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
scale_600,32.0,64.0,600.0,3,elo,2017-01-01→2020-01-01,1421,0.6889309577587786,0.24789770456952526,0.5348346235045742,0.5354564244576886
scale_600,32.0,64.0,600.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
scale_600,32.0,64.0,600.0,3,elo,2020-01-01→2023-01-01,1447,0.6821969524471547,0.24457221497954337,0.5666897028334485,0.5596384708185829
scale_600,32.0,64.0,600.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
scale_600,32.0,64.0,600.0,3,elo,2023-01-01→2026-01-01,1532,0.6820903673366772,0.244549294722677,0.5509138381201044,0.56581639435968
scale_600,32.0,64.0,600.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
scale_600,32.0,64.0,600.0,3,elo,2026-01-01→2029-01-01,387,0.6828240423836354,0.2448501336291906,0.5452196382428941,0.5669871968019016
scale_600,32.0,64.0,600.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
scale_600,32.0,64.0,600.0,3,elo,pooled test,7232,0.683863125447553,0.2454030054930438,0.5576603982300885,0.5542253010286083
provisional_1,32.0,64.0,400.0,1,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
provisional_1,32.0,64.0,400.0,1,elo,test (simple split),3872,0.6835626200577012,0.24527505574111497,0.5488119834710744,0.551739038892053
provisional_1,32.0,64.0,400.0,1,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
provisional_1,32.0,64.0,400.0,1,elo,2011-01-01→2014-01-01,1004,0.6867784879760902,0.2468667719373906,0.545816733067729,0.5316832587071902
provisional_1,32.0,64.0,400.0,1,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
provisional_1,32.0,64.0,400.0,1,elo,2014-01-01→2017-01-01,1441,0.6812804694428028,0.2441660823165216,0.5669673837612769,0.5545904886390519
provisional_1,32.0,64.0,400.0,1,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
provisional_1,32.0,64.0,400.0,1,elo,2017-01-01→2020-01-01,1421,0.6877548841383712,0.24732789361709848,0.5376495425756509,0.5415708466277367
provisional_1,32.0,64.0,400.0,1,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
provisional_1,32.0,64.0,400.0,1,elo,2020-01-01→2023-01-01,1447,0.6818052728312186,0.24439976667374402,0.5583966827919834,0.5547396317465341
provisional_1,32.0,64.0,400.0,1,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
provisional_1,32.0,64.0,400.0,1,elo,2023-01-01→2026-01-01,1532,0.6826784040807743,0.2448611222666865,0.5483028720626631,0.560216303197413
provisional_1,32.0,64.0,400.0,1,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
provisional_1,32.0,64.0,400.0,1,elo,2026-01-01→2029-01-01,387,0.6777086818809082,0.24231696725275778,0.5736434108527132,0.5892982550915672
provisional_1,32.0,64.0,400.0,1,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
provisional_1,32.0,64.0,400.0,1,elo,pooled test,7232,0.6835258923509583,0.24525731035528667,0.5529590707964602,0.5514944091746234
provisional_3,32.0,64.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
provisional_3,32.0,64.0,400.0,3,elo,test (simple split),3872,0.6824889387683581,0.24475483013795207,0.5506198347107438,0.5558998868813715
provisional_3,32.0,64.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
provisional_3,32.0,64.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6841422575656468,0.24556407504541114,0.5657370517928287,0.5457052274264562
provisional_3,32.0,64.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
provisional_3,32.0,64.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.679302965170477,0.24319640823055114,0.5815405968077724,0.5644829535658582
provisional_3,32.0,64.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
provisional_3,32.0,64.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6890336778525024,0.24792646711665065,0.5376495425756509,0.5399474243974876
provisional_3,32.0,64.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
provisional_3,32.0,64.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6796898787072947,0.24335410812924363,0.5694540428472702,0.5638332377430136
provisional_3,32.0,64.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
provisional_3,32.0,64.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6795428804914784,0.24337446564853005,0.5515665796344648,0.5696873375956297
provisional_3,32.0,64.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
provisional_3,32.0,64.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6822380806765208,0.24450924905214833,0.5400516795865633,0.566014802009616
provisional_3,32.0,64.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
provisional_3,32.0,64.0,400.0,3,elo,pooled test,7232,0.6821720603234493,0.24459402939689193,0.5597345132743363,0.557361668389967
provisional_5,32.0,64.0,400.0,5,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
provisional_5,32.0,64.0,400.0,5,elo,test (simple split),3872,0.6816020744318615,0.24431352103948437,0.5565599173553719,0.5606724961029502
provisional_5,32.0,64.0,400.0,5,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
provisional_5,32.0,64.0,400.0,5,elo,2011-01-01→2014-01-01,1004,0.6826582218883336,0.24488930863110142,0.5607569721115537,0.5463359877831678
provisional_5,32.0,64.0,400.0,5,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
provisional_5,32.0,64.0,400.0,5,elo,2014-01-01→2017-01-01,1441,0.6784724828996679,0.24280285974706392,0.5801526717557252,0.5628731350764011
provisional_5,32.0,64.0,400.0,5,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
provisional_5,32.0,64.0,400.0,5,elo,2017-01-01→2020-01-01,1421,0.6896437876702479,0.2482496186135119,0.5383532723434201,0.5363995745790942
provisional_5,32.0,64.0,400.0,5,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
provisional_5,32.0,64.0,400.0,5,elo,2020-01-01→2023-01-01,1447,0.679458445191881,0.24323643183906205,0.5729094678645473,0.5659474319166189
provisional_5,32.0,64.0,400.0,5,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
provisional_5,32.0,64.0,400.0,5,elo,2023-01-01→2026-01-01,1532,0.6769118879860133,0.24211163607723954,0.554177545691906,0.5785981038939065
provisional_5,32.0,64.0,400.0,5,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
provisional_5,32.0,64.0,400.0,5,elo,2026-01-01→2029-01-01,387,0.6834157748188087,0.2448933266086091,0.5736434108527132,0.5744962454756631
provisional_5,32.0,64.0,400.0,5,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
provisional_5,32.0,64.0,400.0,5,elo,pooled test,7232,0.6813798136553973,0.2442149274820148,0.5619469026548672,0.5595710217347576
provisional_7,32.0,64.0,400.0,7,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
provisional_7,32.0,64.0,400.0,7,elo,test (simple split),3872,0.6820371566997111,0.24452656617629637,0.5557851239669421,0.5575573076731364
provisional_7,32.0,64.0,400.0,7,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
provisional_7,32.0,64.0,400.0,7,elo,2011-01-01→2014-01-01,1004,0.6837763748216515,0.24542680525178734,0.5607569721115537,0.5419289647645645
provisional_7,32.0,64.0,400.0,7,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
provisional_7,32.0,64.0,400.0,7,elo,2014-01-01→2017-01-01,1441,0.6775639195246959,0.24237529330008395,0.5829285218598196,0.5648057191658613
